样本,换仓日,持有周期,持仓股票,持仓股票名称,持仓数量
全市场,20171130,2017-12,"000531.SZ,600730.SH,000936.SZ,002228.SZ,600075.SH","穗恒运Ａ,中国高科,华西股份,合兴包装,新疆天业",5
全市场,20171031,2017-11,"000936.SZ,000531.SZ,600730.SH,000037.SZ,000863.SZ","华西股份,穗恒运Ａ,中国高科,深南电A,三湘印象",5
全市场,20170929,2017-10,"000936.SZ,000531.SZ,600730.SH,000863.SZ,000037.SZ","华西股份,穗恒运Ａ,中国高科,三湘印象,深南电A",5
全市场,20170831,2017-09,"000531.SZ,000936.SZ,600730.SH,002124.SZ,000863.SZ","穗恒运Ａ,华西股份,中国高科,天邦食品,三湘印象",5
全市场,20170731,2017-08,"000531.SZ,000936.SZ,600730.SH,002124.SZ,000863.SZ","穗恒运Ａ,华西股份,中国高科,天邦食品,三湘印象",5
全市场,20170630,2017-07,"000936.SZ,000531.SZ,600730.SH,000863.SZ,002124.SZ","华西股份,穗恒运Ａ,中国高科,三湘印象,天邦食品",5
全市场,20170531,2017-06,"000936.SZ,000531.SZ,002124.SZ,600730.SH,000863.SZ","华西股份,穗恒运Ａ,天邦食品,中国高科,三湘印象",5
全市场,20170428,2017-05,"000936.SZ,000863.SZ,002124.SZ,002157.SZ,002228.SZ","华西股份,三湘印象,天邦食品,正邦科技,合兴包装",5
全市场,20170331,2017-04,"000966.SZ,000936.SZ,000899.SZ,000650.SZ,000902.SZ","长源电力,华西股份,赣能股份,仁和药业,新洋丰",5
全市场,20170228,2017-03,"000966.SZ,000899.SZ,002327.SZ,000600.SZ,000902.SZ","长源电力,赣能股份,富安娜,建投能源,新洋丰",5
全市场,20170126,2017-02,"000966.SZ,000899.SZ,002327.SZ,000600.SZ,000650.SZ","长源电力,赣能股份,富安娜,建投能源,仁和药业",5
全市场,20161230,2017-01,"000966.SZ,000899.SZ,002327.SZ,000600.SZ,600578.SH","长源电力,赣能股份,富安娜,建投能源,京能电力",5
全市场,20161130,2016-12,"000966.SZ,000899.SZ,002327.SZ,600578.SH,000600.SZ","长源电力,赣能股份,富安娜,京能电力,建投能源",5
全市场,20161031,2016-11,"000966.SZ,000899.SZ,002327.SZ,600578.SH,000600.SZ","长源电力,赣能股份,富安娜,京能电力,建投能源",5
全市场,20160930,2016-10,"000966.SZ,000899.SZ,002327.SZ,000600.SZ,600578.SH","长源电力,赣能股份,富安娜,建投能源,京能电力",5
全市场,20160831,2016-09,"000966.SZ,000899.SZ,002327.SZ,000600.SZ,600578.SH","长源电力,赣能股份,富安娜,建投能源,京能电力",5
全市场,20160729,2016-08,"000966.SZ,000899.SZ,002054.SZ,002327.SZ,000828.SZ","长源电力,赣能股份,德美化工,富安娜,东莞控股",5
全市场,20160630,2016-07,"000899.SZ,000966.SZ,002327.SZ,000828.SZ,000600.SZ","赣能股份,长源电力,富安娜,东莞控股,建投能源",5
全市场,20160531,2016-06,"000899.SZ,000546.SZ,002327.SZ,600578.SH,000600.SZ","赣能股份,金圆股份,富安娜,京能电力,建投能源",5
全市场,20160429,2016-05,"000899.SZ,002054.SZ,002327.SZ,000828.SZ,600578.SH","赣能股份,德美化工,富安娜,东莞控股,京能电力",5
全市场,20160331,2016-04,"002064.SZ,600507.SH,600578.SH,000600.SZ,600583.SH","华峰化学,方大特钢,京能电力,建投能源,海油工程",5
全市场,20160229,2016-03,"600382.SH,600805.SH,600761.SH,000789.SZ,600658.SH","广东明珠,悦达投资,安徽合力,万年青,电子城",5
全市场,20160129,2016-02,"000789.SZ,600761.SH,000421.SZ,600805.SH,600658.SH","万年青,安徽合力,南京公用,悦达投资,电子城",5
